Date Rptd,DR NO,DATE OCC,TIME OCC,AREA,AREA NAME,RD,Crm Cd,Crm Cd Desc,Status,Status Desc,LOCATION,Cross Street,Location 1,CrimeType
08/24/2014,140101169,08/23/2014,2200,1,Central,162,330,BURGLARY FROM VEHICLE,IC,Invest Cont,              9TH                          ST,   HILL,"(34.046, -118.2621)",Robbery
08/23/2014,140119668,08/23/2014,150,1,Central,164,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,              7TH                          ST,   MAIN,"(34.0442, -118.2519)",Abusement
08/23/2014,140119674,08/23/2014,430,1,Central,155,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",IC,Invest Cont,  200      E  6TH                          ST,,"(34.0446, -118.249)",Criminal Threats
08/23/2014,140119681,08/23/2014,200,1,Central,138,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",IC,Invest Cont,  300      S  ALAMEDA                      ST,,"(34.0455, -118.2381)",Criminal Threats
08/23/2014,140119684,08/23/2014,430,1,Central,158,350,"THEFT, PERSON",IC,Invest Cont,              7TH                          ST,   KOHLER                       ST,"(34.0389, -118.2442)",Vandalism
08/23/2014,140119687,08/23/2014,950,1,Central,192,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,              17TH                         ST,   GRAND,"(34.0354, -118.2676)",Vandalism
08/23/2014,140119688,08/23/2014,1010,1,Central,174,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),IC,Invest Cont,  800      S  MAIN                         ST,,"(34.0428, -118.2532)",Robbery
08/23/2014,140119694,08/23/2014,950,1,Central,162,997,TRAFFIC DR #,IC,Invest Cont,              HOPE                         ST,W  9TH                          ST,"(34.0459, -118.2597)",Vandalism
08/23/2014,140119695,08/23/2014,1420,1,Central,185,660,COUNTERFEIT,IC,Invest Cont, 1000         MAPLE                        AV,,"(34.0383, -118.254)",Traffic Dr
08/23/2014,140119696,08/23/2014,1120,1,Central,143,210,ROBBERY,IC,Invest Cont,  400      S  BROADWAY,,"(34.0495, -118.2494)",Robbery
08/23/2014,140119697,08/23/2014,1245,1,Central,176,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),IC,Invest Cont,  600      E  9TH                          ST,,"(34.0381, -118.2511)",Robbery
08/23/2014,140119698,08/23/2014,1200,1,Central,135,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",IC,Invest Cont,  300      S  MAIN                         ST,,"(34.0496, -118.2458)",Traffic Dr
08/23/2014,140119699,08/23/2014,1200,1,Central,135,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,IC,Invest Cont,  300      S  MAIN                         ST,,"(34.0496, -118.2458)",Robbery
08/23/2014,140119708,08/23/2014,1815,1,Central,157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",IC,Invest Cont,  500      E  6TH                          ST,,"(34.0423, -118.2452)",Traffic Dr
08/23/2014,140119709,08/23/2014,1545,1,Central,171,330,BURGLARY FROM VEHICLE,IC,Invest Cont,  800      W  OLYMPIC                      BL,,"(34.045, -118.264)",Abusement
08/23/2014,140119710,08/23/2014,1800,1,Central,166,210,ROBBERY,IC,Invest Cont,  600      S  SAN PEDRO                    ST,,"(34.0423, -118.2452)",Robbery
08/23/2014,140119711,08/23/2014,1300,1,Central,146,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont,  200         WINSTON                      ST,,"(34.0467, -118.247)",Traffic Dr
08/23/2014,140119712,08/23/2014,830,1,Central,128,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont,  100      S  LOS ANGELES                  ST,,"(34.0515, -118.2424)",Vandalism
08/23/2014,140119713,08/23/2014,1255,1,Central,192,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont, 1400      S  GRAND                        AV,,"(34.0372, -118.2654)",Criminal Threats
08/23/2014,140119715,08/23/2014,2015,1,Central,153,210,ROBBERY,AA,Adult Arrest,  200      W  6TH                          ST,,"(34.046, -118.2509)",Abusement
08/23/2014,140119721,08/23/2014,2015,1,Central,123,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,              HILL,   TEMPLE,"(34.0565, -118.2445)",Burglary
08/24/2014,140119726,08/23/2014,1815,1,Central,162,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,              7TH,   FLOWER                       ST,"(33.9996, -118.469)",Robbery
08/24/2014,140119736,08/23/2014,1745,1,Central,153,626,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,IC,Invest Cont,  200      W  6TH                          ST,,"(34.046, -118.2509)",Abusement
08/24/2014,140119738,08/23/2014,1815,1,Central,162,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,  600      W  9TH                          ST,,"(34.0451, -118.2604)",Robbery
